customer_id,first_name,last_name,email,phone_number,city,state,zip_code,birth_date
278,Jaclyn,Johnson,ginaayers@example.com,Invalid phone number,Wagnerborough,Kentucky,59856,1952-05-18
168,Jonathan,Bowers,robertsnathaniel@example.com,Not Available,South Cameron,Missouri,56896,1919-02-25
272,Matthew,Gibson,cindycurry@example.net,(584) 330-2528,Port Daniel,Indiana,13384,1932-03-10
198,Aaron,Edwards,christensenjoshua@example.org,(455) 986-0947x39525,Terrencechester,Colorado,87295,1920-06-10
357,Alec,Ortiz,rjordan@example.org,(597) 537-0727x9721,Margaretmouth,Nebraska,56300,1921-05-14
23,Christopher,Meza,jonesguy@example.net,Invalid phone number,Susanville,Rhode Island,49266,1974-07-05
73,Angelica,Silva,david29@example.com,+1 (918) 413-2005x9537,Mariahmouth,Montana,65783,1994-07-17
141,Bradley,Barrera,invalid_email,Invalid phone number,New Michaelside,Illinois,69070,1974-12-06
213,Sydney,Booth,greeneddie@example.com,(503) 280-1423x9798,South Steven,Colorado,70903,1953-06-30
393,Oscar,Hunt,ashley10@example.net,(291) 313-1896x3302,Cherylmouth,Tennessee,69306,1990-09-22
206,Tara,Hall,john20@example.org,(365) 532-6634,East Jennafurt,Oklahoma,93671,1937-07-06
12,Thomas,Murphy,nbarrett@example.org,(748) 605-5651,Adamsstad,Maryland,10853,2013-03-01
304,Amy,Meyer,daviskayla@example.net,+1 (661) 501-6926x7189,Lake Martha,New Jersey,17999,1931-12-03
186,Meghan,Sosa,sgarcia@example.com,(992) 723-4417x139,North Alisha,New Hampshire,29650,1922-11-23
305,Ronald,Bernard,eric38@example.net,Invalid phone number,Kylebury,New Mexico,93358,1951-03-25
379,Monica,Ballard,ryancombs@example.net,(212) 203-2743x834,Port Michelle,Idaho,84317,1990-10-20
390,Scott,Atkins,russellgarrett@example.com,(955) 591-4002x994,Port Jason,Illinois,57659,1964-01-08
409,Robin,Davis,jonathancurtis@example.net,(739) 568-3789,East Jack,Rhode Island,78387,2015-08-02
8,Jeffrey,Vang,kristen52@example.com,Invalid phone number,New Jeffreymouth,Virginia,58012,1981-01-20
37,Jacqueline,Jenkins,perezdiane@example.org,+1 (541) 518-8318x17304,Gavinstad,California,37977,1929-09-27
156,Kaitlyn,Hodge,danielsjames@example.com,(757) 348-6688x89483,Burnsshire,Georgia,32032,1990-09-23
368,Jeffrey,Hoover,christina18@example.net,(436) 877-5911x5587,West Joseph,Washington,78922,1986-06-05
178,Jim,Pratt,jgutierrez@example.org,(200) 946-3890,Byrdtown,Mississippi,90323,1960-11-06
360,Peggy,Sanchez,alvarezshawn@example.com,(672) 313-1454x36919,Gregoryborough,Illinois,79818,1942-08-31
34,Pamela,Tucker,marcusmorales@example.com,(843) 950-0051,New Kevintown,New Jersey,97867,1949-08-29
92,Corey,Thomas,johnsondavid@example.org,Invalid phone number,Harringtonton,Alabama,15424,1948-10-22
139,Beth,Ware,paularice@example.com,Invalid phone number,Deborahland,North Dakota,81742,1999-01-03
228,Heather,Smith,whiterobert@example.com,(589) 804-8400,Aaronmouth,Wisconsin,35481,1957-03-08
277,Charles,Hampton,jenkinsphilip@example.net,(272) 511-3530,Martinhaven,Delaware,20488,1946-02-02
293,Emily,Mccormick,nicholas88@example.org,(967) 783-8564,Baxterville,New Jersey,88068,1911-05-08
65,Patricia,Andrews,jerrybarnes@example.com,Invalid phone number,Lake Kara,Montana,10666,1918-02-24
175,Kelly,Gates,robert03@example.org,Invalid phone number,South Jimmyland,Idaho,27701,2015-01-29
331,Nicole,Garcia,ricky74@example.net,(835) 805-8839x357,Miguelmouth,Mississippi,74452,1987-03-05
355,Lisa,Davis,dlee@example.com,(986) 462-3897,Perezton,Pennsylvania,49565,1991-08-10
256,Mary,Kent,ihuffman@example.net,(275) 254-3633,Beckview,Mississippi,33616,1916-06-10
269,Angela,Davis,katherine47@example.com,+1 (511) 761-7984x0255,Brownshire,Kentucky,5150,1958-03-15
348,Crystal,Austin,anthonycastro@example.com,Invalid phone number,South Mark,North Carolina,4881,1918-11-25
29,Samantha,Murphy,zodom@example.com,(941) 709-0144,Travisland,Vermont,72091,1915-02-22
252,Sarah,Brown,richardphillips@example.com,Invalid phone number,Gregoryview,Illinois,37555,1970-02-20
32,Courtney,Taylor,melanie86@example.com,+1 (922) 923-1801x4409,New Anna,Arkansas,47271,2019-01-04
234,Jeffrey,Diaz,billjohnson@example.org,(577) 609-5817,Fisherport,Alabama,89667,1997-04-22
314,William,Cooley,michaelroberson@example.net,Invalid phone number,Thomasborough,Hawaii,66490,2012-03-15
380,Donald,Rivera,alexis18@example.net,(251) 252-2022x6245,Jillport,Michigan,34706,1981-11-21
241,Christina,Ross,sandramcfarland@example.org,(901) 442-3652,East Elizabeth,Mississippi,20187,1967-12-18
296,John,Garcia,tina79@example.org,(845) 690-0720,East James,Connecticut,37353,2012-11-24
299,Beth,Weaver,christian50@example.com,(683) 786-1004x34925,New Larry,New Jersey,8932,1921-08-20
364,Garrett,Jordan,nicholevasquez@example.net,(301) 349-4151,Elliottview,Illinois,24635,1947-01-09
394,Matthew,Green,castrojoshua@example.net,Invalid phone number,Lake Thomas,Rhode Island,43597,1941-04-25
400,Dana,Duffy,amcdonald@example.net,(219) 358-5643,South Kent,Georgia,23570,1970-12-29
122,Jessica,Vargas,erica88@example.org,Invalid phone number,South Gregory,Rhode Island,27769,1967-09-27
155,Matthew,Parker,elizabethmartin@example.net,(447) 554-2694x8342,Joneston,Florida,83793,1962-01-04
253,James,Miles,ryan81@example.net,(258) 626-5917x2105,Lake Johnview,Hawaii,86090,1913-11-06
332,Monica,Lewis,mmassey@example.org,(584) 382-6564,Josephfurt,Minnesota,4130,1978-06-17
396,John,Lewis,garyphillips@example.org,+1 (504) 746-8985x74227,Kellybury,Oklahoma,83574,1988-05-16
9,Roberto,Johnson,ihughes@example.com,(505) 895-7853x48550,Jodifurt,Louisiana,13500,1918-02-05
96,Tina,Ellis,khunter@example.net,(367) 688-4970x4531,Jennahaven,Massachusetts,51004,1960-11-29
14,Lauren,Campbell,taylornancy@example.net,Invalid phone number,West Annaton,Pennsylvania,1518,1925-04-04
146,Daniel,Johnson,uingram@example.com,(661) 907-0858x7871,Lake Sheila,Mississippi,97766,1929-04-19
309,Steven,Jones,williamfarmer@example.net,(426) 817-8747,Jorgebury,Kansas,25615,1977-01-12
343,Beth,Bautista,karagarcia@example.net,+1 (267) 446-8810x8824,Bellhaven,Florida,45326,1960-11-15
101,Alejandro,Gonzalez,bowenjames@example.com,(698) 311-1140,Andrewton,Alaska,98910,1926-03-11
205,Adam,Bradley,swarren@example.net,(294) 744-9382x0569,Humphreyfort,Nevada,82988,2013-06-29
233,Kevin,Gibson,larrytaylor@example.org,(326) 959-1242x6655,Kerryshire,Rhode Island,80639,1928-11-02
385,Kayla,Davidson,dylanrandolph@example.net,(767) 933-4717x40347,Taylorchester,Arkansas,61533,2023-12-02
173,Katherine,Ho,swatson@example.org,(477) 344-6093x292,New Stephanie,Massachusetts,53760,2012-12-27
99,Jennifer,Williams,brady61@example.com,(618) 691-2217x54907,Woodberg,Connecticut,79632,1979-09-12
127,Shaun,Vasquez,uharris@example.net,(417) 218-2974,North Robert,Maryland,13963,1961-01-14
222,Benjamin,Ford,noah22@example.org,Invalid phone number,Jenkinsshire,Kansas,60040,1986-03-25
245,Michelle,Dixon,michael22@example.net,+1 (830) 646-8699x70102,West Scottstad,Wyoming,82074,1951-04-15
110,Karla,Wallace,millspedro@example.com,Invalid phone number,North Chloestad,Kentucky,79668,2005-04-20
128,Sherry,Watson,andrew68@example.net,(764) 384-5146x587,Kevinchester,Georgia,92762,1922-11-06
144,Jennifer,Archer,elijahgonzalez@example.com,(910) 723-0558x8842,Anthonyborough,Kentucky,93008,2005-08-27
414,Bobby,Jones,williamsvalerie@example.com,Invalid phone number,Phillipsborough,New Mexico,90942,1935-12-09
151,Caitlin,Payne,tina71@example.org,Not Available,Ravenchester,Arizona,39293,1984-06-30
236,Jessica,Boyd,quinntiffany@example.org,(646) 535-4270x3413,Gailland,Kansas,59566,1940-06-29
197,Mark,Gilmore,burkeraymond@example.net,(477) 803-9392x92023,Owentown,Illinois,25323,2002-01-10
365,Nicholas,Guerra,anthonyfrank@example.org,(841) 395-0008,Michaelborough,Washington,72383,1956-02-25
264,Donna,Acosta,vhenderson@example.org,(837) 381-6734x7128,Dawnhaven,Alaska,6691,2023-07-05
18,Daniel,Barton,mooresamantha@example.net,(771) 621-2990,West Claytonburgh,Idaho,3297,1973-12-08
33,Donald,Rasmussen,jbryant@example.org,(814) 217-2150x48155,Port Teresaborough,Louisiana,94941,1941-07-30
