order_id,customer_id,order_date,total_amount,shipping_Address,billing_address
264,2830,2022-08-03,3566.0,"32138 Bryan Court Apt. 598 East Charles, PW 27839",USNS Rodriguez FPO AE 58754
159,4390,2022-11-15,9637.0,"068 Michael Rest East Ryanview, MI 00600","06153 Robin Shoal West Michael, CO 33483"
326,702,2019-11-27,4634.0,"44979 Stephanie Glens West Michaelhaven, DE 95416","121 Cynthia Coves Apt. 483 Dickersonview, MA 83558"
370,2244,2024-01-12,8065.0,"75425 Jermaine Groves Suite 498 Lake Cynthiaside, HI 34504","983 Miller Rapids Gutierrezville, VI 46959"
398,4180,2021-05-01,9957.0,"1603 Nicholas Lane Suite 521 North Randy, LA 55937","63827 Bush Haven East Codyview, PW 21963"
83,2062,2022-11-06,7183.0,"6207 Andrade Branch Suite 020 Sarahchester, KS 15235","647 Shari Shoal Suite 833 South Kimshire, AL 28311"
295,3216,2025-06-18,4166.0,"73109 Donald Harbor Apt. 651 East Adam, WA 06995","5643 Moore Pass Suite 422 Jonesfurt, PA 25297"
355,4791,2019-08-20,2893.0,"8292 Morris Cape Suite 124 Jonathanborough, WA 86001","PSC 7267, Box 2697 APO AE 20554"
273,1557,2020-09-30,7463.0,"250 Espinoza Avenue Woodsfurt, NM 51711","498 Henry Gardens Apt. 275 Lake Valerie, KS 26791"
296,4522,2023-03-22,5057.0,"810 Cook Prairie Carterhaven, WA 11375","142 Dickerson Ports Mollyside, OR 74703"
377,3111,2020-01-04,6084.0,"1508 Bishop Trail Apt. 841 Brianberg, IN 86312",Unit 9167 Box 3287 DPO AA 27670
33,4642,2024-09-02,3483.0,"5383 Russo Vista Apt. 302 New Shannon, ND 19348","60882 Mathis Parks Jessicaland, KS 08633"
44,2012,2024-10-24,7928.0,"8830 Gregory Stream Suite 295 New Anthony, PA 74294","906 Myers Run Suite 750 North Victoria, MP 91408"
178,3369,2022-09-20,9381.0,"667 Hogan Burgs Suite 516 Harrisstad, TX 65470","01667 Beth Expressway Smithland, ME 72589"
179,4092,2022-02-13,7215.0,"372 Roberts Haven Apt. 555 Ibarramouth, IA 27935","7848 Stacey Mountains South Shawn, VI 56909"
215,2186,2020-02-21,5193.0,"360 Guerrero Gardens Diazmouth, LA 61232","07765 Marissa Drives Lake Bernardton, CT 94239"
297,46,2020-03-11,1331.0,"PSC 4470, Box 2994 APO AP 79472","16387 Novak Shoal North Marcustown, IA 93933"
317,1132,2023-01-06,3303.0,"877 Nicole Tunnel Suite 418 Susanville, FL 83585","2981 Martinez Plaza Port Brian, MO 06060"
162,3872,2020-11-04,1277.0,"65737 Carrie Mountains Suite 740 North Timothy, CT 88988","646 Amy Plain West Matthewfurt, VI 20879"
200,632,2021-03-30,7667.0,"1313 Fletcher Track West Jenniferfort, IA 75884","3818 Brown Run Jesseberg, OR 46813"
339,3782,2020-08-16,5465.0,"358 Collins Skyway Suite 157 East Michaelmouth, ID 29803","54264 Tony Prairie West Elizabethside, NM 54300"
122,1076,2021-07-08,9063.0,"2784 Shannon Trace East Ian, NC 38325","321 Jason Haven Kristenport, MP 82452"
63,184,2024-01-10,2948.0,"408 Yang Trace Lorichester, DE 44909","5211 Marquez Mountain Port Willieshire, NJ 04033"
381,3146,2021-10-19,4211.0,"4073 Marie Brook North Laura, FL 96122","92045 Campbell Knolls Apt. 977 New Rebecca, VI 96024"
98,3785,2021-12-30,3120.0,"243 Samuel Lane South Dustinberg, ME 35640","502 Robertson River Grantchester, PA 95517"
158,3592,2019-12-07,9081.0,"5105 Heather Points Apt. 088 Thomaston, FM 58280","931 Mckenzie Neck Port Tiffany, NH 28698"
286,4751,2024-01-18,5157.0,"5966 Perez Isle South Bryan, WI 85292","7807 Stephanie Key Suite 083 Wheelerhaven, IA 62847"
232,203,2024-01-22,678.0,"22797 Ross Path Apt. 674 Teresaberg, AR 44874","05871 Mccormick Forge Sarahaven, AZ 53780"
97,207,2021-05-21,8919.0,USS Gardner FPO AA 12104,"510 Thomas Lake Hardyburgh, VT 50529"
257,3575,2022-03-21,4002.0,"64896 Erin Mission Andersonton, MI 82803","500 Reed Rapids Apt. 850 Daviston, NV 71538"
21,2586,2022-03-25,4990.0,USNV Lloyd FPO AP 69203,"92842 Ricky Green South Carla, NC 99660"
277,2285,2023-07-21,2463.0,"7061 Patterson Causeway Apt. 036 Gillmouth, DC 33193","7422 Friedman Causeway South Petermouth, MO 34536"
365,1780,2025-08-08,1280.0,"69074 Alvarez Ports Apt. 665 North Michele, RI 57205","5884 Baker Crossroad Suite 984 West Gina, MI 62612"
402,2217,2020-08-28,5098.0,"7419 Sosa Ridges Suite 533 Cooperport, VT 35665","786 John Village Suite 872 Elliottmouth, WV 09031"
249,3667,2022-11-01,6335.0,Unit 8884 Box 2370 DPO AA 71550,"28858 Cruz Drive Apt. 489 Bryanburgh, MA 30499"
258,1041,2023-05-23,1594.0,"2364 Thomas Springs North Shane, WY 13295","21334 Michael Drive Apt. 198 Caseyborough, KS 15895"
259,4894,2019-09-08,2291.0,"8346 Rebecca Springs Ronnieshire, PA 35651",USS Kelly FPO AA 75875
197,4126,2024-06-15,9270.0,"22429 Campbell Port West Stevenmouth, MN 71083","949 Lee Flats Kevinshire, OH 02535"
263,1542,2023-04-08,2885.0,"59019 Collins Mount Apt. 401 Lake Sarahland, SC 75895","78479 Watkins Tunnel Suite 950 South Kaitlyn, GA 25757"
313,2942,2020-03-18,8573.0,"88291 Michael Course Apt. 260 East Jessica, IA 86962","2454 Samantha Keys Suite 164 Smithmouth, MD 21308"
394,1226,2023-06-17,7304.0,"PSC 9635, Box 0141 APO AA 80256","512 Ramirez Points Juliafort, VI 34066"
18,615,2022-09-20,1025.0,"5572 David Causeway East Sabrina, PA 97821","7229 Lisa Rest Suite 494 Lyonsberg, DC 25385"
72,2404,2022-01-08,127.0,"5861 Odom Locks Apt. 476 Jessicaburgh, MI 56869","086 Joseph Union South Danielle, AL 81894"
294,4068,2020-10-07,5711.0,"3611 Lori Flats Suite 898 South Meganstad, KY 59107","13421 Chris Track Apt. 634 South Brentport, GU 43244"
358,4809,2021-04-04,6055.0,"87151 Mitchell Hollow Littleton, NJ 69394","44928 Erica Groves Port Amyfort, ND 66708"
411,4321,2021-06-07,7363.0,"45764 Hernandez Plaza Webbtown, OR 94909","PSC 9600, Box 2264 APO AP 26705"
86,2814,2022-09-17,5699.0,"3347 Fleming Trace Lake Phyllis, OR 68611","5276 Smith Bypass Suite 715 Jeffreyside, LA 86735"
89,1544,2020-03-19,5921.0,"64363 Shannon Brook North Amyshire, WA 55351","431 Perez Plain Apt. 884 Braunland, MH 30037"
253,4264,2023-03-01,1974.0,"1035 Jeffrey Street Apt. 217 Martinezton, NE 98038","248 Shannon Stravenue North Adam, MD 38335"
